mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.5,"88 km SE of King Salmon, Alaska",1635897098098,1635897381592,,https://earthquake.usgs.gov/earthquakes/eventpage/ak021e2gg6g4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak021e2gg6g4&format=geojson,,,,,automatic,0,35,ak,021e2gg6g4,",ak021e2gg6g4,",",ak,",",origin,",,,0.45,,ml,earthquake,"M 1.5 - 88 km SE of King Salmon, Alaska"
0.7,"34 km SE of Mina, Nevada",1635896352596,1635963537655,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00827325,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00827325&format=geojson,,,,,reviewed,0,8,nn,00827325,",nn00827325,",",nn,",",origin,phase-data,",15.0,0.038,0.0994,93.03,ml,earthquake,"M 0.7 - 34 km SE of Mina, Nevada"
2.0999999,"4 km S of P?hala, Hawaii",1635896300200,1635896500250,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72780612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72780612&format=geojson,,,,,automatic,0,68,hv,72780612,",hv72780612,",",hv,",",origin,phase-data,",36.0,,0.119999997,155.0,md,earthquake,"M 2.1 - 4 km S of P?hala, Hawaii"
1.23,"12 km E of Smithfield, Utah",1635896285940,1635945107460,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60466517,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60466517&format=geojson,,,,,reviewed,0,23,uu,60466517,",uu60466517,",",uu,",",origin,phase-data,",17.0,0.07971,0.14,87.0,ml,earthquake,"M 1.2 - 12 km E of Smithfield, Utah"
2.13,"16km ESE of Julian, CA",1635896203230,1635899763840,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39847383,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39847383&format=geojson,1.0,2.2,,,reviewed,0,70,ci,39847383,",ci39847383,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",77.0,0.0498,0.18,44.0,ml,earthquake,"M 2.1 - 16km ESE of Julian, CA"
0.53,"20km NW of Parkfield, CA",1635896168440,1636047552642,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73648015,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73648015&format=geojson,,,,,reviewed,0,4,nc,73648015,",nc73648015,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.04388,0.05,113.0,md,earthquake,"M 0.5 - 20km NW of Parkfield, CA"
2.6,"55 km S of Whites City, New Mexico",1635896074447,1636067206040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021vnbc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021vnbc&format=geojson,,,,,reviewed,0,104,tx,2021vnbc,",us7000fqzm,tx2021vnbc,",",us,tx,",",origin,phase-data,",24.0,0.03755948373,0.3,55.0,ml,earthquake,"M 2.6 - 55 km S of Whites City, New Mexico"
1.0,"1 km WNW of Walker, California",1635896021945,1635962969562,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00827324,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00827324&format=geojson,,,,,reviewed,0,15,nn,00827324,",nn00827324,",",nn,",",origin,phase-data,",9.0,0.014,0.0898,96.05,ml,earthquake,"M 1.0 - 1 km WNW of Walker, California"
1.37,"12 km E of Smithfield, Utah",1635895703390,1635945387020,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60466512,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60466512&format=geojson,,,,,reviewed,0,29,uu,60466512,",uu60466512,",",uu,",",origin,phase-data,",20.0,0.07814,0.14,66.0,md,earthquake,"M 1.4 - 12 km E of Smithfield, Utah"
3.9,"4 km SSW of Kragujevac, Serbia",1635895546410,1636059359252,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fqzl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000fqzl&format=geojson,33.0,5.4,,,reviewed,0,252,us,7000fqzl,",us7000fqzl,",",us,",",dyfi,origin,phase-data,",,1.951,0.74,44.0,mb,earthquake,"M 3.9 - 4 km SSW of Kragujevac, Serbia"
